female,wjtest01,wjtest07,wjtest10,wmtest01,wmtest07,wmtest10,childs_language,daycare_home_age,daycare_home_duration,daycare_center_age,daycare_center_duration,headstart_age,headstart_duration,tpsprek_age,tpsprek_duration,prek_age,prek_duration,birth_city,birth_state,birth_country,respondent_birth_city,respondent_birth_state,respondent_birth_country,respondent_move,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,q1,q2,q3,q4,lastyrpk,lastyrhs,contxt1,contxt2,contxt3,contxt4,contxt5,contxt6,contxt7,contxt8,contxt9,contxt10,contxt11,contxt12,contxt13,contxt14,contxt15,contxt16,contxt17,contxt18,contxt19,contxt20,contxt21,contxt22,contxt23,contxt24,hs3yralum,ID,race,cohort,fullday0506,fullday0607,tpslunch0506,tpslunch0607,caphslunch0506,caphslunch0607,age,cutoff,langsurvey,psurvey,relative,health,medvisit,dentvisit,insurance,daycare_home,daycare_center,headstart,tpsprek,prek,internet,books,marital,father,respondent_education,spouse_education,momeduc,school_0607,school_0506,school_0405,teach_0607,teach_0506,white,black,hispanic,racecat4,racecat5,racecat6,other,freelunch
1,2,2,6,,,,English,.1154,4,99,99,99,99,99,99,99,99,Tulsa,OK,USA,Tulsa,OK,USA,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,5856,Black,Pre-K Entrant,,Full day,,Free lunch,,,-84,0,English,Yes,Biological mother,Excellent,1 year to 2 years,6 months to a year,Yes,Yes,No,No,No,No,No,Enough to fill 1 bookcase (26-100),No response,No response,High school graduate,No response,High school or GED,4,,,,,0,1,0,0,0,0,0,1
0,10,8,13,,,,English,99,99,.91670001,4,99,99,99,99,99,99,Tulsa,OK,USA,Elmhurst,IL,USA,99,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,Disagree,Agree,Disagree,Disagree,Yes,No,0,0,1,0,1,1,0,1,1,1,1,1,0,1,2,0,0,1,0,1,1,0,1,0,No,1674,White,K Entrant,Full day,Full day,Free lunch,Reduced price lunch,,,66,1,English,Yes,Biological father,Excellent,Less than 6 months,Less than 6 months,Yes,No,Yes,No,No,No,Yes,Enough to fill 1 bookcase (26-100),Never Married,Yes,Some college,No response,,60,60,,,366,1,0,0,0,0,0,0,0
0,13,12,19,,,,English,99,99,99,99,99,99,4,1,99,99,Tulsa,OK,USA,Tulsa,OK,USA,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1645,White,K Entrant,Full day,Full day,Free lunch,Free lunch,,,240,1,English,Yes,Biological mother,Very good,Less than 6 months,Never,Yes,No,No,No,Yes,No,No,Enough to fill 1 bookcase (26-100),Never Married,Yes,High school graduate,High school graduate,High school or GED,60,60,,,366,1,0,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,No,802,Black,K Entrant,Full day,,Free lunch,Free lunch,,,120,1,,No,,,,,,,,,,,,,,,,,,2,2,,,303,0,1,0,0,0,0,0,1
0,9,4,18,,,,English,99,99,99,99,99,99,4,1,3,1,Tulsa,OK,USA,Beaver,OK,USA,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Yes,No,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,1672,Native American,K Entrant,Full day,Full day,Full price lunch,Free lunch,,,274,1,English,Yes,Biological mother,Good,Less than 6 months,Less than 6 months,Yes,No response,No response,No response,Yes,Yes,No,Enough to fill 1 shelf (11-25),Married,Yes,High school graduate,High school graduate,High school or GED,60,60,,,366,0,0,0,0,1,0,1,1
0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,No,No,2,0,0,1,1,1,0,1,0,1,1,0,2,3,3,1,2,1,1,2,2,1,2,1,No,6429,Black,Pre-K Entrant,,,,Reduced price lunch,,,-298,0,,No,,,,,,,,,,,,,,,,,,53,,,,,0,1,0,0,0,0,0,0
0,2,7,14,,,,English,99,99,99,99,99,99,99,99,99,99,Tulsa,OK,USA,Harrisburg,PA,USA,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,2996,White,Pre-K Entrant,,Full day,,Reduced price lunch,,,-149,0,English,Yes,Biological mother,Excellent,Less than 6 months,Never,No,No,No,No,No,No,No,Enough to fill 2 bookcases (101-200),Married,Yes,Associate's degree,College degree (4 yr),Some college,54,,,,,1,0,0,0,0,0,0,0
1,9,12,12,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Strongly agree,Strongly disagree,Strongly agree,Agree,Yes,No,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No,1565,Hispanic,K Entrant,Full day,Full day,Reduced price lunch,Free lunch,,,342,1,,No,,,,,,,,,,,,,,,,,,58,58,,,68,0,0,1,0,0,0,0,1
1,1,8,19,,,,English,4,.16670001,4,.083300002,99,99,99,99,99,99,Okmulgee,OK,USA,Muskogee,OK,USA,99,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Disagree,Agree,Agree,No,No,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,No,3562,White,Pre-K Entrant,,Full day,,Free lunch,,,-11,0,English,Yes,Step-mother,Excellent,Less than 6 months,Less than 6 months,Yes,Yes,Yes,No response,No response,No response,No,Enough to fill 1 shelf (11-25),Married,Yes,Some high school,High school graduate,No high school or GED,60,,,,,1,0,0,0,0,0,0,1
1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Disagree,Disagree,Agree,Agree,No,No,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,No,6253,White,Pre-K Entrant,,,,Full price lunch,,,-215,0,,No,,,,,,,,,,,,,,,,,,60,,,,,1,0,0,0,0,0,0,0
0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Agree,Agree,Agree,Disagree,No,No,2,0,1,1,1,1,1,1,0,1,1,0,1,0,2,1,0,1,1,0,0,1,0,0,No,5999,White,Pre-K Entrant,,,,Reduced price lunch,,,-345,0,,No,,,,,,,,,,,,,,,,,,60,,,,,1,0,0,0,0,0,0,0
0,0,0,0,,,,English and Spanish,.1538,1,1,3,99,99,99,99,99,99,Tulsa,OK,USA,Tulsa,OK,USA,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,3577,,Pre-K Entrant,,Half day,,Free lunch,,,-224,0,English,Yes,Biological mother,Excellent,Less than 6 months,6 months to a year,Yes,Yes,Yes,No response,No response,No response,No,Enough to fill 1 shelf (11-25),Never Married,No response,High school graduate,No response,High school or GED,,,,,,,,,,,,,1
1,6,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,No,4974,Black,Pre-K Entrant,,Full day,,Free lunch,,,-163,0,,No,,,,,,,,,,,,,,,,,,1,,,,,0,1,0,0,0,0,0,1
1,7,3,12,,,,English,99,99,99,99,3,1,99,99,99,99,Tulsa,OK,USA,Pantooc,MI,USA,99,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,No,No,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No,3623,Native American,Pre-K Entrant,,Half day,,Free lunch,,,-71,0,English,Yes,Biological mother,Very good,1 year to 2 years,1 year to 2 years,Yes,No,No,Yes,No response,No response,No,Enough to fill 1 bookcase (26-100),Married,No,High school graduate,Some college,High school or GED,40,,,,,0,0,0,0,1,0,1,1
